à,at; in; to; with
tiers (n.m.) [quantité],third
tiers (n.m.) [personne],outsider; stranger
tigre (n.m.),tiger
tilleul (n.m.),lime
timbre (n.m.),stamp
timbrer (v.),stamp
timidité (n.f.),shyness
Tintin (n.pr.),Tintin
tipi (n.m.),tepee
tir (n.m.),shot; firing; launch
tir à l'arc (n.m.),archery
tir au but (n.f.),penalty shoot out; shot at goal
tir au panier (n.m.),free throw
tiré à quatre épingles (n.m.),dressed up to the nines
tire-bouchon (n.m.),corkscrew
tire-fesses (n.m.),ski tow
tirelire (n.f.),piggy bank; moneybox
tirer (v.),shoot; pull; derive
tirer des bords,tack
tirer le bon numéro,draw the lucky number
tirer profit de,benefit from
tiroir (n.m.),drawer
tisane (n.f.),herbal tea
tissu (n.m.),tissue; fabric
Titanic (n.pr.m.),Titanic
titre (n.m.),title
titre de transport (n.m.),ticket
titulaire,holder; incumbent
toast (n.m.),toast
toasteur (n.m.),toaster
toi,you
toi-même,yourself
toile (n.f.),cloth; canvas
toile de fond (n.f.),backdrop
toilette (n.f.),washing; cleaning
toilettes (n.f.pl.),toilet (UK); bathroom (US)
toit (n.m.),roof
toit ouvrant (n.m.),sliding roof (UK); sunroof (US)
Tokyo (n.pr.),Tokyo
tolérance (n.f.),tolerance; concession
tolérant,tolerant
TOM (territoires d'outre-mer),TOMs; France's overseas Territories
tomate (n.f.),tomato
tombe (n.f.),grave
tomber (v.) [concret] (+ être),fall on; fall
tomber (v.) [figuré] (+ être),fall on; fall
tomber bien,be lucky; hang well
tomber d'accord,come to an agreement
tomber en panne,break down; out of order
tomber en ruine,fall into ruins; fall apart
tomber malade,fall ill; fall sick
tomber sur [figuré],come across; fall on
tomber sur [concret],fall on; fall
tomme (n.f.),semi-hard cow's milk cheese from Savoy
ton,your
ton (n.m.),tone
tondeuse (n.f.),mower; lawnmower
tondre (v.),mow; shear; clip; shave
tonne (n.f.),tonne (UK); ton (US)
tonneau (n.m.),barrel; cask
tonnerre (n.m.),thunder
torchon (n.m.),dish towel; tea towel
torrent (n.m.),torrent; flood
torse (n.m.),torso; chest
tort (n.m.),fault; mistake
tortue  (n.f.),tortoise; turtle
torture (n.f.),torture
Toscane (n.pr.f.),Tuscany
tôt,early; soon
total,total; complete
totalement,totally
totalité (n.f.),totality; total amount
touche (n.f.),button
toucher (v.),touch; be paid
toucher à sa fin,draw to a close
toucher du bois,touch wood
toujours,always; still
tour (n.f.),tower
tour (n.m.) [mouvement],circumference; walk
tour (n.m.) [succession],turn
tour de contrôle (n.f.),control tower
Tour de France (n.pr.m.),Tour de France
tour de Londres (n.f.),Tower of London
tour de Pise (n.f.),Leaning Tower of Pisa
tour du monde (n.m.),world tour
tour Eiffel (n.f.),Eiffel tower
tour-opérateur (n.m.),tour operator
tourelle (n.f.),turret
tourisme (n.m.),tourism
touriste (double genre),tourist
touristique,tourist
tourmentin (n.m.),storm jib
tournage (n.m.),shooting; filming
tournebroche (n.m.),spit
tournée (n.f.),tour
tourner (v.),turn
tourner en rond,go around and around; go around in circles
tournoi (n.m.),tournament
touron (n.m.),touron
tous les chemins mènent à Rome,all roads lead to Rome
tous les combien,how often
tous les jours,every day
Toussaint (n.pr.f.),All Saints' Day
tout,everything; all; everybody
tout à coup,suddenly
tout à fait,exactly; entirely; quite
tout à l'heure,see you; later
tout au long de,throughout
tout au plus,at most
tout aussi,just as
tout compris,all-inclusive
tout d'abord,first of all; in the first place
tout de même,even so; all the same
tout de suite,immediately; right now
tout droit,straight on; straight ahead
tout est bien qui finit bien,all's well that ends well
tout le monde,everybody; everyone
tout le temps,always; all the time
toutefois,however; all the same; nonetheless
toutes sortes de,all sorts of; all kinds of
toux (n.f.),cough
Tower Bridge (n.pr.m.),Tower Bridge
toxique,toxic
tracas (n.m.),bother; worries
trace (n.f.),trace; track; mark; record
tracer (v.),trace; draw; mark; record
tracteur (n.m.),tractor
tradition (n.f.),tradition
traditionnel,traditional
traditionnellement,traditionally
traduire (v.),translate
Trafalgar Square (n.pr.),Trafalgar Square
trafic (n.m.),traffic
tragédie (n.f.),tragedy
trahir (v.),betray
train (n.m.),train
train d'atterrissage (n.m.),undercarriage
traîne (n.f.),train
traîneau (n.m.),sledge (UK); sled (US)
traîner (v.),drag; dawdle; pull
traire (v.),milk; draw
trait (n.m.),line; stroke
traite (n.f.),by draft; draft
traitement (n.m.),treatment; handling; processing
traitement de texte (n.m.),word processing program
traiter (v.),deal with; treat; entertain
traiteur (n.m.),caterer
trajet (n.m.),distance; journey; trip; route
tramway (n.m.),tram (UK); street car (US); tramway
tranche (n.f.),slice
tranche d'âge (n.f.),age bracket
tranquille,quiet; in peace
tranquillement,calmly; quietly
tranquillité (n.f.),peacefulness; quietness
transaction (n.f.),transaction
transat (n.m.),deck chair
transférer (v.),transfer
transfert (n.m.),transfer
transformation (n.f.),transformation; processing
transformer (v.),transform; change
transmettre (v.),transmit; send; pass on
transmission (n.f.),handing over; passing on; transmission
transparence (n.f.),transparency
transparent,transparent
transport (n.m.),transport
transporter (v.),carry; move; transport
transporteur (n.m.),carrier; road haulier
transports en commun (n.m.pl.),public transport; mass transit (US)
transvaser (v.),decant
traumatisme (n.m.),trauma
travail (n.m.),work; job
travailler (v.),work
travailleur (n.m.),self-employed person; freelance worker
traversée (n.f.),crossing
traverser (v.),cross
trébucher (v.),stumble
treize,thirteen
treizième,thirteenth
trempé,wet; soaked
tremplin (n.m.),trampoline; board
trentaine (n.f.),about thirty
trente,thirty
trente-quatrième,thirty-fourth
très,very
trésor (n.m.),treasure
trésorerie (n.f.),accounts; finances
tri (n.m.),sorting out; selection
triangle (n.m.),triangle
triangulaire,triangular
tribu (n.f.),tribe
tribunal (n.m.),court
tricot de corps (n.m.),vest (UK); undershirt (US)
trier (v.),sort out
trimaran (n.m.),trimaran
trimestre (n.m.),quarter; trimester (US); term
tringle à rideaux (n.f.),curtain rail
triomphe (n.m.),triumph
triste,sad
tristement,sadly
tristesse (n.f.),sadness
Trocadéro (n.pr.m.),Trocadero
trois,three
trois étoiles,three-star
trois-mâts (n.m.),three-master
troisième,third
troisième guerre mondiale (n.f.),third world war
trombone (n.m.),paper clip; trombone
tromper (v.),betray; deceive; make a mistake
trompette (n.f.),trumpet
tronçonneuse (n.f.),motor saw
trône (n.m.),throne
trop,too; too much; too many
tropique (n.m.),tropic; tropics
trotter (v.),trot
trottoir (n.m.),pavement (UK); sidewalk (US)
trou (n.m.),hole
trouble (n.m.),trouble
trouble,cloudy; vague
trouer (v.),pierce; make a hole in
troupe (n.f.),theatre group
trousse (n.f.),bag; kit
trousse de secours (n.f.),first-aid kit
trouvaille (n.f.),find; invention
trouver (v.),find; consider; think
trouver que,find; consider; think
truite (n.f.),trout
tsar (n.m.),tsar
tu,you
tuba (n.m.),snorkel
tuer (v.),kill
tuile (n.f.),tile
tumultueux,stormy; turbulent; tumultuous
tunique (n.f.),tunic
Tunisie,Tunisia
tunnel (n.m.),tunnel; Channel Tunnel
turbocompresseur (n.m.),turbocharger
turbot (n.m.),turbot
turbulence (n.f.),turbulence
Turc (n.m.),Turk
turc,Turkish
Turin (n.pr.),Turin
Turquie (n.pr.f.),Turkey
turquoise,turquoise
tuteur (n.m.),tutor
tutoyer (v.),use the ''tu'' form to sb
type (n.m.) [sorte],kind; type
type (n.m.) [gars],bloke (UK); guy (US)
typique,typical
typiquement,typically
Tyrol du Sud (n.pr.m.),Tyrol du Sud
U.L.M. (ultra-léger motorisé) (n.m.),ultra-light plane
ultérieur,future; later
ultime,ultimate
ultra-léger,ultra-light
ultracourt,very short
l'un,one (of)
un,a; an
l'un contre l'autre,close together
un instant,one moment; just a minute
un peu,a little; a bit; a few
un peu de,some; a little; a bit
un tas,a lot of; a heap of; heap
unanimité (n.f.),unanimity
une autre fois,another time
une façon de,way
une fois,once
une fois que,once
une sorte de,a kind of; a sort of
uniforme,uniform; regular
uniforme (n.m.),uniform
Union européenne (n.pr.f.),European Union
unique,only; unique
uniquement,only
unir (v.),unite; join in marriage; link
unitaire,unit
unité (n.f.),unit; unity
universel,universal
universitaire,university
Université de Nanterre,Nanterre University
urbain,urban
urgence (n.f.) [nécessité],emergency; urgency
urgences (n.f.),emergency; casualty department
urgent,urgent
usage (n.m.),use
usager (n.m.),user
usé,worn; exhausted
user de,use; exercise
usine (n.f.),factory
usité,commonly-used
ustensile (n.m.),utensil; tool; implement
usuel,usual
utile,useful
utilisateur (n.m.),user
utilisation (n.f.),use
utiliser (v.),use
utilitaire (n.m.),utility vehicle
utilité (n.f.),usefulness
V.T.T. (vélo tout-terrain) (n.m.),mountain bike
va pour cette fois,that'll do
vacances (n.f.pl.),holiday (UK); vacation (US)
vacancier (n.m.),holiday-maker (UK); vacationer (US)
vacarme (n.m.),din; racket; pandemonium
vaccin (n.m.),vaccine
vaccination (n.f.),vaccination certificate
vache (n.f.),cow
vague,vague
vague (n.f.),wave
vaincre (v.),defeat; overcome
vainqueur,winner; conqueror
vaisseau (n.m.),vessel; ship
vaisselle (n.f.),set of dishes; crockery
Val de Loire (n.pr.m.),The Loire Valley
valable,valid
Valéry Giscard d'Estaing (n.pr.),Valéry Giscard d'Estaing
valeur (n.f.),value; merit
valeur ajoutée (n.f.),added value
valide,fit; able-bodied
valider (v.),validate
validité (n.f.),validity
valise (n.f.),suitcase
vallée (n.f.),valley
valoir (v.) [coûter],be worth
valoir la peine,be worth the pain
valoir le coup,be worth the pain
vampire (n.m.),vampire
vanille (n.f.),vanilla
vanne (n.f.),sluice gate; lock gate
vanter (v.),boast; praise
Vanuatu (n.pr.m.),Vanuatu
vapeur (n.f.),steam
variable,variable; changeable; unsettled
variante (n.f.),variant
varié,varied
varier (v.),vary
variété (n.f.),variety
Varsovie (n.pr.),Warsaw
vase (n.m.),vase
vaste,vast; huge; far-reaching
veau (n.m.),calf; veal
vedette (n.f.),star
végétarien,vegetarian [adjective]
végétarien (n.m.),vegetarian
végétation (n.f.),vegetation; undergrowth
véhicule (n.m.),vehicle
véhicule à chenilles (n.m.),caterpillar track car
veille (n.f.),previous day; night before
veiller à,see to; take care of
vélo (n.m.),bike; cycling; bicycle
vélo tout terrain (n.m.),mountain bike
vélodrome (n.m.),velodrome
velours (n.m.),corduroy; velvet
velouté (n.m.),cream soup
vendange (n.f.),grape picking
vendeur (n.m.),salesman
vendre (v.),sell
vendredi (n.m.),Friday
vendu,sold
vénérer (v.),venerate; revere
venir (v.) (+ être),come
venir à (+ être),be to ...; reach; come to
venir à bout de,get through
venir à l'idée,dawn on
venir de (+ être),have just done sth; come from
Venise (n.pr.),Venice
Venise verte (n.pr.f.),Green Venice
vent (n.m.),wind
vent arrière (n.m.),run with the wind
vente (n.f.),sale; sales; selling
vente par correspondance (n.f.),mail order selling
ventilation (n.f.),ventilation
ventre (n.m.),stomach; belly
venu,come
venue (n.f.),coming; arrival
Vénus de Milo,Venus de Milo
ver (n.m.),worm
véranda (n.f.),veranda
Vercingétorix (n.pr.),Vercingetorix
verdoyant,green; lush
verglas (n.m.),ice
vérification (n.f.),checking; verification
vérifier (v.),check; verify
véritable,veritable; real; true; genuine
véritablement,really; truly
vérité (n.f.),truth
vernis (n.m.),varnish
vernissage (n.m.),preview; private view
verre (n.m.),glass; lens; drink
verre correcteur (n.m.),corrective lens
vers,towards
vers (n.m.),line; poetry
Versailles (n.pr.),Versailles
versement (n.m.),payment; instalment (UK); installment (US)
verser (v.),pour; pay
version (n.f.),version
vert (n.m.),green
vert,green [adjective]
verticale (n.f.),vertical; vertically
vertige (n.m.),vertigo
vertu (n.f.),virtue; property
verveine (n.f.),verbena tea
veste (n.f.),jacket; vest
vestiaire (n.m.),changing room; cloakroom
vestimentaire,clothing
vêtement (n.m.),clothes
vétuste,dilapidated; outdated
veuf,widowed
vexer (v.),offend
via,via
viaduc (n.m.),viaduct
viande (n.f.),meat
vice (n.m.),vice
Vichy,Vichy
victime (n.f.),casualty; victim
victoire (n.f.),victory
Victoire de la musique,Victoire de la Musique
Victor Hugo (n.pr.),Victor Hugo
Victor Laloux (n.pr.),Victor Laloux
victuailles (n.f.pl.),provisions; victuals
vide,empty
vide (n.m.),emptiness
vide-poche (n.m.),side pocket; glove compartment
vidéo (n.f.),video
vidéoconférence (n.f.),video conferencing
vider (v.),empty
